,hire_date,user_id,book_id,due_date,hire_type,id_y,price,return_date,status,barcode,title_id
85,2018-01-15 00:00:00+00:00,102,53398-130,2018-01-22 00:00:00+00:00,3,89,25000.0,2018-01-15 13:54:08+00:00,1,53398-130,97
86,2018-01-15 00:00:00+00:00,1,56697-70,2018-07-15 00:00:00+00:00,2,90,100000.0,2018-01-15 14:01:46+00:00,1,56697-70,122
87,2018-01-22 00:00:00+00:00,117,53394-70,2018-02-22 00:00:00+00:00,3,91,25000.0,2018-03-05 14:20:32+00:00,1,53394-70,120
88,2018-01-27 00:00:00+00:00,41,53683-100,2018-02-03 00:00:00+00:00,3,92,14948.0,2018-01-27 11:30:23+00:00,1,53683-100,23
89,2018-01-29 00:00:00+00:00,90,53700-100,2018-07-15 00:00:00+00:00,2,93,61105.0,2018-06-08 11:37:12+00:00,1,53700-100,34
90,2018-01-29 00:00:00+00:00,48,53397-70,2018-07-15 00:00:00+00:00,2,94,62620.0,2018-06-12 10:16:47+00:00,1,53397-70,55
91,2018-01-29 00:00:00+00:00,45,53683-100,2018-02-05 00:00:00+00:00,3,95,14948.0,2018-02-06 13:01:36+00:00,1,53683-100,23
92,2018-01-29 00:00:00+00:00,45,53398-100,2018-02-05 00:00:00+00:00,3,96,25000.0,2018-03-19 11:38:35+00:00,1,53398-100,97
93,2018-01-29 00:00:00+00:00,79,021022602,2018-02-05 00:00:00+00:00,3,97,11250.0,2018-02-05 09:39:08+00:00,1,021022602,162
94,2018-01-29 00:00:00+00:00,70,53658-70,2018-07-15 00:00:00+00:00,2,98,93526.0,2019-01-22 10:42:19+00:00,1,53658-70,59
95,2018-01-29 00:00:00+00:00,79,53700-80,2018-07-15 00:00:00+00:00,2,99,61105.0,2018-06-14 12:45:22+00:00,1,53700-80,34
96,2018-01-30 00:00:00+00:00,45,53400-60,2018-02-06 00:00:00+00:00,3,100,14872.25,2018-02-06 12:54:40+00:00,1,53400-60,130
97,2018-01-30 00:00:00+00:00,98,53700-140,2018-07-15 00:00:00+00:00,2,101,61105.0,2018-06-29 12:48:40+00:00,1,53700-140,34
98,2018-01-30 00:00:00+00:00,38,53538-150,2018-07-15 00:00:00+00:00,2,102,48884.0,2018-01-30 11:17:37+00:00,1,53538-150,6
99,2018-01-31 00:00:00+00:00,77,53357-80,2018-07-15 00:00:00+00:00,2,103,100000.0,2018-06-09 12:46:36+00:00,1,53357-80,31
100,2018-02-02 00:00:00+00:00,60,53683-60,2018-07-15 00:00:00+00:00,2,104,59792.0,2018-04-02 08:33:25+00:00,1,53683-60,23
101,2018-02-02 00:00:00+00:00,39,58583-60,2018-07-15 00:00:00+00:00,2,105,66155.0,2018-06-06 11:57:29+00:00,1,58583-60,100
102,2018-02-03 00:00:00+00:00,19,53401-90,2018-07-15 00:00:00+00:00,2,106,100000.0,2018-05-29 08:39:03+00:00,1,53401-90,27
103,2018-02-05 00:00:00+00:00,39,53398-130,2018-07-15 00:00:00+00:00,2,107,100000.0,2018-06-08 09:26:52+00:00,1,53398-130,97
104,2018-02-28 00:00:00+00:00,84,54396-70,2018-07-15 00:00:00+00:00,2,108,100000.0,2018-07-27 13:12:41+00:00,1,54396-70,129
105,2018-03-10 00:00:00+00:00,47,53400-60,2018-07-15 00:00:00+00:00,2,109,59489.0,2018-03-10 09:55:56+00:00,1,53400-60,130
106,2018-03-10 00:00:00+00:00,47,53400-60,2018-07-15 00:00:00+00:00,2,110,59489.0,2018-06-27 11:11:21+00:00,1,53400-60,130
107,2018-03-28 00:00:00+00:00,14,58627-90,2018-04-04 00:00:00+00:00,3,111,17776.0,2018-04-05 14:44:03+00:00,1,58627-90,54
108,2018-03-28 00:00:00+00:00,24,53401-80,2018-04-04 00:00:00+00:00,3,112,25000.0,2018-03-28 15:29:50+00:00,1,53401-80,27
109,2018-04-04 00:00:00+00:00,11,021023078,2018-07-15 00:00:00+00:00,2,113,100000.0,2018-06-05 09:42:52+00:00,1,021023078,164
110,2018-04-04 00:00:00+00:00,15,58588-60,2018-04-11 00:00:00+00:00,3,114,20048.5,2018-04-04 14:36:23+00:00,1,58588-60,66
111,2018-04-04 00:00:00+00:00,30,58588-80,2018-04-11 00:00:00+00:00,3,115,20048.5,2018-04-04 14:36:26+00:00,1,58588-80,66
112,2018-04-06 00:00:00+00:00,29,58584-70,2018-04-13 00:00:00+00:00,3,116,18281.0,2018-04-13 09:46:57+00:00,1,58584-70,88
113,2018-04-06 00:00:00+00:00,60,53683-60,2018-07-15 00:00:00+00:00,2,117,59792.0,2018-06-26 10:23:28+00:00,1,53683-60,23
114,2018-04-10 00:00:00+00:00,38,53569-80,2018-04-17 00:00:00+00:00,3,118,14872.25,2018-04-10 10:05:24+00:00,1,53569-80,24
115,2018-05-09 00:00:00+00:00,88,53692-60,2018-05-16 00:00:00+00:00,3,119,20553.5,2018-05-16 09:32:11+00:00,1,53692-60,28
116,2018-05-14 00:00:00+00:00,59,52076-130,2018-05-21 00:00:00+00:00,3,120,16564.0,2018-05-21 12:33:49+00:00,1,52076-130,91
117,2018-05-15 00:00:00+00:00,13,021022171,2018-05-22 00:00:00+00:00,3,121,21100.0,2018-05-25 15:17:28+00:00,1,021022171,143
118,2018-05-19 00:00:00+00:00,74,53357-90,2018-05-26 00:00:00+00:00,3,122,25000.0,2018-05-28 11:14:58+00:00,1,53357-90,31
119,2018-05-28 00:00:00+00:00,74,53357-90,2018-06-04 00:00:00+00:00,3,123,25000.0,2018-06-04 08:11:51+00:00,1,53357-90,31
120,2018-06-08 00:00:00+00:00,28,58627-100,2018-06-15 00:00:00+00:00,3,124,17776.0,2018-06-11 15:26:05+00:00,1,58627-100,54
121,2018-06-08 00:00:00+00:00,28,58627-80,2018-06-15 00:00:00+00:00,3,125,17776.0,2018-06-11 15:07:44+00:00,1,58627-80,54
122,2018-06-08 00:00:00+00:00,28,58627-120,2018-06-15 00:00:00+00:00,3,126,17776.0,2018-06-11 15:25:55+00:00,1,58627-120,54
123,2018-06-08 00:00:00+00:00,28,58627-110,2018-06-15 00:00:00+00:00,3,127,17776.0,2018-06-11 15:25:40+00:00,1,58627-110,54
124,2018-06-12 00:00:00+00:00,85,53685-80,2018-06-19 00:00:00+00:00,3,128,9898.0,2018-06-12 12:09:59+00:00,1,53685-80,104
125,2018-06-19 00:00:00+00:00,44,53488-90,2018-08-31 00:00:00+00:00,2,129,67569.0,2018-06-19 14:53:31+00:00,1,53488-90,98
